acc	evalue	score
AKE60792.1	1.2e-214	725.4
AST82081.1	1.4e-214	725.3
QZE49362.1	1.5000000000000002e-214	725.1
AMH12639.1	1.7000000000000002e-214	725.0
AYL63674.1	1.7000000000000002e-214	725.0
VEI44070.1	1.7000000000000002e-214	725.0
ASE43733.1	2.2e-214	724.6
AUV28636.1	2.2e-214	724.6
QGG12462.1	2.2e-214	724.6
QKE22817.1	2.2e-214	724.6
QLK40484.1	2.2e-214	724.6
QLO86751.1	2.2e-214	724.6
QLR16748.1	2.2e-214	724.6
QLR26365.1	2.2e-214	724.6
QLR64930.1	2.2e-214	724.6
QLS37189.1	2.2e-214	724.6
QLS67577.1	2.2e-214	724.6
QLS97037.1	2.2e-214	724.6
QLT56406.1	2.2e-214	724.6
QLU32687.1	2.2e-214	724.6
QLU53502.1	2.2e-214	724.6
QLV38351.1	2.2e-214	724.6
QLV89942.1	2.2e-214	724.6
QLW57368.1	2.2e-214	724.6
QLW62276.1	2.2e-214	724.6
QLZ28308.1	2.2e-214	724.6
QLZ43646.1	2.2e-214	724.6
QLZ80656.1	2.2e-214	724.6
QMA20548.1	2.2e-214	724.6
QMA30030.1	2.2e-214	724.6
QMA34617.1	2.2e-214	724.6
QMD08648.1	2.2e-214	724.6
QMD54939.1	2.2e-214	724.6
QMR48688.1	2.2e-214	724.6
QYO51219.1	2.2e-214	724.6
QLS57185.1	2.6000000000000004e-214	724.4
QLV70750.1	2.6000000000000004e-214	724.4
QLY05422.1	2.6000000000000004e-214	724.4
QML70030.1	2.7e-214	724.3
QLW43450.1	2.8e-214	724.3
QCZ34226.1	2.9000000000000003e-214	724.2
AHY10682.1	3.3000000000000002e-214	724.1
AWS94456.1	3.3000000000000002e-214	724.1
AYL68410.1	3.3000000000000002e-214	724.1
BBV33106.1	3.3000000000000002e-214	724.1
BBV38106.1	3.3000000000000002e-214	724.1
QET64414.1	3.3000000000000002e-214	724.1
UBX44723.1	3.3000000000000002e-214	724.1
UQX59317.1	3.3000000000000002e-214	724.1
AKK41025.1	3.5000000000000004e-214	723.9
ALL88041.1	3.5000000000000004e-214	723.9
APK46028.1	3.5000000000000004e-214	723.9
AQU94960.1	3.5000000000000004e-214	723.9
ASJ36154.1	3.5000000000000004e-214	723.9
AUK08771.1	3.5000000000000004e-214	723.9
AUZ14679.1	3.5000000000000004e-214	723.9
AWH68527.1	3.5000000000000004e-214	723.9
BAX13255.1	3.5000000000000004e-214	723.9
QDJ64236.1	3.5000000000000004e-214	723.9
AMG92449.1	3.6000000000000005e-214	723.9
QBM21160.1	3.8e-214	723.8
ATF51541.1	3.8e-214	723.8
QCA20504.1	3.8e-214	723.8
QMR45818.1	3.8e-214	723.8
QMR75785.1	3.9e-214	723.8
QFS69578.1	3.9e-214	723.8
AUO66672.1	4.1000000000000006e-214	723.7
AAN83148.1	4.300000000000001e-214	723.7
ABG71949.1	4.300000000000001e-214	723.7
ABJ03253.1	4.300000000000001e-214	723.7
ACB19844.1	4.300000000000001e-214	723.7
ADE88453.1	4.300000000000001e-214	723.7
ADN48696.1	4.300000000000001e-214	723.7
ADR29177.1	4.300000000000001e-214	723.7
AER86829.1	4.300000000000001e-214	723.7
AER91748.1	4.300000000000001e-214	723.7
AID80945.1	4.300000000000001e-214	723.7
AIL17634.1	4.300000000000001e-214	723.7
AIX65781.1	4.300000000000001e-214	723.7
AJB37032.1	4.300000000000001e-214	723.7
AJM75980.1	4.300000000000001e-214	723.7
AKK35375.1	4.300000000000001e-214	723.7
AKK44975.1	4.300000000000001e-214	723.7
ALD27599.1	4.300000000000001e-214	723.7
ALD32656.1	4.300000000000001e-214	723.7
ALD37427.1	4.300000000000001e-214	723.7
ALD42406.1	4.300000000000001e-214	723.7
ALV66840.1	4.300000000000001e-214	723.7
ANJ40298.1	4.300000000000001e-214	723.7
ANK34612.1	4.300000000000001e-214	723.7
ANR83613.1	4.300000000000001e-214	723.7
ANV95565.1	4.300000000000001e-214	723.7
AOM72319.1	4.300000000000001e-214	723.7
APK36029.1	4.300000000000001e-214	723.7
AQV68807.1	4.300000000000001e-214	723.7
ASJ28475.1	4.300000000000001e-214	723.7
ASO90495.1	4.300000000000001e-214	723.7
ASW62070.1	4.300000000000001e-214	723.7
ATB80511.1	4.300000000000001e-214	723.7
ATB95325.1	4.300000000000001e-214	723.7
ATC19685.1	4.300000000000001e-214	723.7
ATV11153.1	4.300000000000001e-214	723.7
ATX12679.1	4.300000000000001e-214	723.7
ATY20551.1	4.300000000000001e-214	723.7
AUF93265.1	4.300000000000001e-214	723.7
AUG66952.1	4.300000000000001e-214	723.7
AUG95763.1	4.300000000000001e-214	723.7
AUM10399.1	4.300000000000001e-214	723.7
AUN92656.1	4.300000000000001e-214	723.7
AUQ39684.1	4.300000000000001e-214	723.7
AUY44932.1	4.300000000000001e-214	723.7
AUY71673.1	4.300000000000001e-214	723.7
AUZ91332.1	4.300000000000001e-214	723.7
AVQ78431.1	4.300000000000001e-214	723.7
AVV68874.1	4.300000000000001e-214	723.7
AVZ56763.1	4.300000000000001e-214	723.7
AWR51674.1	4.300000000000001e-214	723.7
AWR81873.1	4.300000000000001e-214	723.7
AWT03825.1	4.300000000000001e-214	723.7
AXG63549.1	4.300000000000001e-214	723.7
AXH19596.1	4.300000000000001e-214	723.7
AXY46869.1	4.300000000000001e-214	723.7
